"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV1","cdiff",0.890621143041504,0.52686929082022,1,2.57932128337787,0.3747288034185,"feces","Week 1"
"ASV1","Intercept",-2.90797940347636,0.216851162076545,0.995327851310888,1.82385557033528,-1.63459338690475,"feces","Week 1"
"ASV1","la",3.60123260626909,0.257543401921353,0.994301724487836,2.57932128337787,1.52987022511034,"feces","Week 1"
"ASV1","lg",0.49378196891575,0.553205219782304,1,2.57932128337787,0.21932974984275,"feces","Week 1"
"ASV10","cdiff",-0.55446583105509,0.758649129600412,1,1.88590094712008,-0.316331356889648,"feces","Week 1"
"ASV10","Intercept",9.7482982020844,0.000115858778077153,0.0292793456401193,1.33353334835474,7.87790732802978,"feces","Week 1"
"ASV10","la",0.420194705609685,0.816299886871169,1,1.88590094712008,0.238521187260375,"feces","Week 1"
"ASV10","lg",-9.14399420342926,0.000596374063963288,0.145590138957321,1.88590094712008,-5.05193465756617,"feces","Week 1"
"ASV100","cdiff",-0.213217549797889,0.602730387585377,1,2.65271010328691,-0.121432331521125,"feces","Week 1"
"ASV100","Intercept",-2.69835134285088,0.274537367379171,0.997007585106794,1.87574930255624,-1.45014456758261,"feces","Week 1"
"ASV100","la",-0.269170891538689,0.582542321846151,1,2.65271010328691,-0.107494615353641,"feces","Week 1"
"ASV100","lg",1.16622705309529,0.509163938504259,1,2.65271010328691,0.513118590831908,"feces","Week 1"
"ASV101","cdiff",-10.5323249180033,0.00023026521480338,0.0454968881927744,1.44537192932206,-8.29237942493056,"feces","Week 1"
"ASV101","Intercept",7.35851077350891,0.000427579027233872,0.0625755366864792,1.02203229256031,8.41906731878496,"feces","Week 1"
"ASV101","la",0.000352905141295954,0.932865422231306,1,1.44537192932206,0.00165651104556407,"feces","Week 1"
"ASV101","lg",-6.77230141002271,0.00368129761195791,0.26007269083791,1.44537192932206,-5.36694399275897,"feces","Week 1"
"ASV102","cdiff",-6.66487544153772,0.0289040586099163,0.719834921401204,2.06717819687579,-3.4630663678827,"feces","Week 1"
"ASV102","Intercept",3.73347803232888,0.0615638963815615,0.864326088980057,1.46171572093186,2.81495195077231,"feces","Week 1"
"ASV102","la",-6.49467437548514,0.0336821658587717,0.738916856317892,2.0671781968758,-3.3606949265515,"feces","Week 1"
"ASV102","lg",3.49521261788736,0.119889418738801,1,2.0671781968758,1.74094805467066,"feces","Week 1"
"ASV104","cdiff",-10.2818608753675,0.00344237132981136,0.4074162989773,2.45362479341358,-4.38610556170372,"feces","Week 1"
"ASV104","Intercept",8.41404640099992,0.0013888587105673,0.207280590165199,1.73497472991019,5.12933183430723,"feces","Week 1"
"ASV104","la",-11.5367863138534,0.00155195148225102,0.261774683678568,2.45362479341358,-4.91950970751258,"feces","Week 1"
"ASV104","lg",-4.69075727263558,0.0827843549893331,1,2.45362479341358,-1.96895440170284,"feces","Week 1"
"ASV105","cdiff",9.80392873477015,0.000397695388788422,0.0810868059768256,1.43301239874804,7.8734327410233,"feces","Week 1"
"ASV105","Intercept",-2.70038222103731,0.0970980901227316,0.780369759152293,1.01329278467914,-2.88631587093489,"feces","Week 1"
"ASV105","la",10.1490778048551,0.000298701047857056,0.0646904464142614,1.43301239874804,8.15323009647607,"feces","Week 1"
"ASV105","lg",-1.15330692086218,0.348424386515864,0.942144914146375,1.43301239874804,-0.930199330574519,"feces","Week 1"
"ASV106","cdiff",-2.06604640544894,0.508479983035169,1,2.98549904631665,-0.693924186911212,"feces","Week 1"
"ASV106","Intercept",6.55910137376161,0.012918070972724,0.867827780039119,2.11106662087647,3.22589863833533,"feces","Week 1"
"ASV106","la",-5.44630200037987,0.0995248180165298,1,2.98549904631665,-1.84628617467849,"feces","Week 1"
"ASV106","lg",-4.81696825840053,0.137008495135218,1,2.98549904631665,-1.64989838122722,"feces","Week 1"
"ASV107","cdiff",7.59747235145394,0.00995807622624868,0.590193943564693,2.07572883388416,3.88850966599235,"feces","Week 1"
"ASV107","Intercept",-2.87583122702827,0.158146965797986,0.977856627085778,1.46776193434394,-2.0205662268421,"feces","Week 1"
"ASV107","la",-0.208502737846765,0.530595289316207,1,2.07572883388416,-0.0816312540873937,"feces","Week 1"
"ASV107","lg",-0.900832868721453,0.492614596570319,1,2.07572883388416,-0.437673931358208,"feces","Week 1"
"ASV108","cdiff",-0.232394067257781,0.460926117345597,0.987666562056642,1.87263566788346,-0.219232943105561,"feces","Week 1"
