"ID","Shannon","InvSimpson","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"237-1-d0-No-ce",1.05687836573486,2.3368099212089,1,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-1-d0-No-fe",0.947236828657566,1.44130861111908,1,"day0","Week 1","feces","cef","M",237,"none","none"
"237-1-d0-No-il",1.0405296059232,2.52025337019879,1,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-2-d0-No-ce",1.38307957899797,2.82531865623128,2,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-2-d0-No-fe",0.00453278984078267,1.00092803827014,2,"day0","Week 1","feces","cef","M",237,"none","none"
"237-2-d0-No-il",1.47854305770118,3.80644984157731,2,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-3-d0-No-ce",1.5176938346998,3.25687012627772,3,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-3-d0-No-fe",0.0789289263630465,1.02429742864589,3,"day0","Week 1","feces","cef","M",237,"none","none"
"237-3-d0-No-il",1.29561793683734,3.05959384768393,3,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-4-d0-No-ce",1.41896596829638,2.87303049132014,4,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-4-d0-No-fe",0.00442131796516333,1.00088197237747,4,"day0","Week 1","feces","cef","M",237,"none","none"
"237-4-d0-No-il",1.19560887817151,2.63040526048978,4,"day0","Week 1","ileum","cef","M",237,"none","none"
"238-1-d0-Cd-ce",2.54975293516832,9.49331467567105,1,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-1-d0-Cd-fe",0.0103694490730201,1.00225997639144,1,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-1-d0-Cd-il",0.726353995935765,1.36471573513646,1,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-ce",2.63021629385383,8.02309604434458,2,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-fe",0.0147679163803955,1.00311053194192,2,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-il",0.179723184985773,1.06392793484318,2,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-ce",2.52626269517247,7.54487411541046,3,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-fe",0.0162279319109144,1.00402352992246,3,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-il",1.87146277066563,3.01896098373692,3,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-ce",2.70322205552408,11.0371339336924,4,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-fe",0.0116531414546522,1.00262164901435,4,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-il",0.488518552297071,1.38795301892892,4,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"239-1-d0-La-ce",1.24471969414255,2.54139413815009,1,"day0","Week 1","cecum","la","M",239,"none","positive"
"239-1-d0-La-fe",0.00559473860764143,1.00116084057735,1,"day0","Week 1","feces","la","M",239,"none","positive"
