"week","group1","group2","p","p.signif"
"Week 1","cdiff","cef",0.17142857,""
"Week 1","la","cef",0.3,""
"Week 1","lg","cef",0.88571429,""
"Week 2","cdiff","cef",0.05714286,""
"Week 2","la","cef",0.17142857,""
"Week 2","lg","cef",0.24,""
"Week 3","cdiff","cef",0.03428571,"*"
"Week 3","la","cef",0.03428571,"*"
"Week 3","lg","cef",0.03428571,"*"
"Week 4","cdiff","cef",0.58285714,""
"Week 4","la","cef",0.17142857,""
"Week 4","lg","cef",0.58285714,""
"Week 1","la","cdiff",0.17142857,""
"Week 1","lg","cdiff",0.22857143,""
"Week 2","la","cdiff",0.05714286,""
"Week 2","lg","cdiff",0.05714286,""
"Week 3","la","cdiff",0.88571429,""
"Week 3","lg","cdiff",0.03428571,"*"
"Week 4","la","cdiff",0.34285714,""
"Week 4","lg","cdiff",0.58285714,""
"Week 1","lg","la",0.88571429,""
"Week 2","lg","la",0.68571429,""
"Week 3","lg","la",0.03428571,"*"
"Week 4","lg","la",0.88571429,""
