"week","group1","group2","p","p.signif"
"Week 1","cdiff","cef",1,""
"Week 1","la","cef",1,""
"Week 1","lg","cef",1,""
"Week 2","cdiff","cef",0.1714286,""
"Week 2","la","cef",0.1714286,""
"Week 2","lg","cef",0.6857143,""
"Week 3","cdiff","cef",0.8857143,""
"Week 3","la","cef",0.4,""
"Week 3","lg","cef",0.8857143,""
"Week 4","cdiff","cef",1,""
"Week 4","la","cef",0.8228571,""
"Week 4","lg","cef",0.8228571,""
"Week 1","la","cdiff",1,""
"Week 1","lg","cdiff",1,""
"Week 2","la","cdiff",0.6857143,""
"Week 2","lg","cdiff",0.6857143,""
"Week 3","la","cdiff",0.3428571,""
"Week 3","lg","cdiff",0.8857143,""
"Week 4","la","cdiff",0.8228571,""
"Week 4","lg","cdiff",0.8228571,""
"Week 1","lg","la",1,""
"Week 2","lg","la",0.6857143,""
"Week 3","lg","la",0.3428571,""
"Week 4","lg","la",0.8228571,""
