"ID","MDS1","MDS2","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"237-1-d0-No-fe",-0.0224713978338064,0.306043605873144,1,"day0","Week 1","feces","cef","M",237,"none","none"
"237-2-d0-No-fe",0.0537860281769357,-0.0221929704976861,2,"day0","Week 1","feces","cef","M",237,"none","none"
"237-3-d0-No-fe",0.0532101670654057,-1.69655781972474e-05,3,"day0","Week 1","feces","cef","M",237,"none","none"
"237-4-d0-No-fe",0.0537886877145561,-0.0224953687395548,4,"day0","Week 1","feces","cef","M",237,"none","none"
"238-1-d0-Cd-fe",0.0537825257073829,-0.0217573614626617,1,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-fe",0.0537711009625916,-0.0209659244634749,2,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-fe",0.0537535539605781,-0.0196593223916283,3,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-fe",0.0537697661839726,-0.0209252230766826,4,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"239-1-d0-La-fe",0.0537842381746523,-0.0221909255102955,1,"day0","Week 1","feces","la","M",239,"none","positive"
"239-2-d0-La-fe",0.0537860271140487,-0.0224764563507391,2,"day0","Week 1","feces","la","M",239,"none","positive"
"239-3-d0-La-fe",0.0537881408098171,-0.0223753961435619,3,"day0","Week 1","feces","la","M",239,"none","positive"
"239-4-d0-La-fe",0.0537096676163306,-0.0180908024974913,4,"day0","Week 1","feces","la","M",239,"none","positive"
"240-1-d0-Lg-fe",-0.729760379874368,-0.0297803825888166,1,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-2-d0-Lg-fe",0.0537371621570669,-0.0191207021320294,2,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-3-d0-Lg-fe",0.0537861189080409,-0.0222375875721861,3,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-4-d0-Lg-fe",0.0537785931567952,-0.0217582168681384,4,"day0","Week 1","feces","lg","M",240,"positive","none"
"241-1-d7-No-fe",-0.753552025789369,0.199238045024106,1,"day7","Week 2","feces","cef","M",241,"none","none"
"241-2-d7-No-fe",-0.801588725898915,-0.0373102801413517,2,"day7","Week 2","feces","cef","M",241,"none","none"
