"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","sampletype","week"
"cef vs cdiff",1,0.00390589086049743,1.13877350724835,0.159519489740373,0.434,1,"","feces","Week 1"
"cef vs la",1,0.0039540366429977,1.15227912874137,0.161106565893233,0.332,1,"","feces","Week 1"
"cef vs lg",1,0.0196112156001448,0.864317882288014,0.125914606099204,0.68,1,"","feces","Week 1"
"cdiff vs la",1,2.70724625804e-06,1.19642348779972,0.16625251276944,0.224,1,"","feces","Week 1"
"cdiff vs lg",1,0.0192625024653198,1.00009934940574,0.142869307917843,0.051,0.306,"","feces","Week 1"
"la vs lg",1,0.0192604369909525,0.999909990427565,0.142846121135122,0.887,1,"","feces","Week 1"
"cef vs cdiff",1,0.752458684001363,13.2768001633778,0.688745022558316,0.033,0.198,"","feces","Week 2"
"cef vs la",1,0.642135280652807,11.5718448401966,0.658544674474096,0.022,0.132,"","feces","Week 2"
"cef vs lg",1,0.797606450406281,17.7124818439558,0.746968704520933,0.038,0.228,"","feces","Week 2"
"cdiff vs la",1,0.317969730491768,3.62781004576547,0.376805320059369,0.029,0.174,"","feces","Week 2"
"cdiff vs lg",1,0.527782415312291,6.83767361740409,0.532625600337294,0.027,0.162,"","feces","Week 2"
"la vs lg",1,0.229610307535073,3.02103326146669,0.334887720054312,0.029,0.174,"","feces","Week 2"
"cef vs cdiff",1,0.499702563861587,6.86457644046499,0.533602988969987,0.033,0.198,"","feces","Week 3"
"cef vs la",1,0.610454252137886,12.2177360040627,0.670650623180511,0.022,0.132,"","feces","Week 3"
"cef vs lg",1,1.42911180223951,25.3537660935007,0.808635428927189,0.038,0.228,"","feces","Week 3"
"cdiff vs la",1,0.615644917849304,11.4372515343248,0.65590907556795,0.029,0.174,"","feces","Week 3"
"cdiff vs lg",1,1.40271802096161,23.28924349123,0.795146637986858,0.027,0.162,"","feces","Week 3"
"la vs lg",1,1.23984316701533,33.1504298240711,0.846744977591255,0.026,0.156,"","feces","Week 3"
"cef vs cdiff",1,0.391954637791648,5.93345120444719,0.497211670186073,0.033,0.198,"","feces","Week 4"
"cef vs la",1,0.529783488409676,6.86302202059694,0.53354662765931,0.022,0.132,"","feces","Week 4"
"cef vs lg",1,0.62797911645791,8.36320527210215,0.582265943685016,0.038,0.228,"","feces","Week 4"
"cdiff vs la",1,0.346284821490445,5.38200092132811,0.47285191404642,0.029,0.174,"","feces","Week 4"
"cdiff vs lg",1,0.589963558138381,9.47950371286001,0.61239067406177,0.027,0.162,"","feces","Week 4"
"la vs lg",1,0.706151039550973,9.62436917452653,0.615984496207232,0.026,0.156,"","feces","Week 4"
"cef vs cdiff",1,0.90184070918385,14.7129681304437,0.710326402174043,0.033,0.198,"","cecum","Week 1"
"cef vs la",1,0.712778201840478,8.83081416452156,0.595436910378577,0.022,0.132,"","cecum","Week 1"
"cef vs lg",1,0.927224688707889,6.42415281209499,0.517069687507468,0.038,0.228,"","cecum","Week 1"
"cdiff vs la",1,0.567897351949263,4.88169779593562,0.448615453900858,0.029,0.174,"","cecum","Week 1"
"cdiff vs lg",1,0.462832096402289,2.57198668110448,0.300045575989286,0.027,0.162,"","cecum","Week 1"
"la vs lg",1,0.237133603796848,1.18941193359341,0.165439391229725,0.26,1,"","cecum","Week 1"
"cef vs cdiff",1,1.35620430034531,31.0548866172222,0.838078036454945,0.033,0.198,"","cecum","Week 2"
"cef vs la",1,0.596552685625959,9.30720764553409,0.608027790636883,0.022,0.132,"","cecum","Week 2"
"cef vs lg",1,0.847639347381436,11.0863484895814,0.64884246603898,0.038,0.228,"","cecum","Week 2"
"cdiff vs la",1,1.24769927317313,26.0353490239981,0.812706894639877,0.029,0.174,"","cecum","Week 2"
"cdiff vs lg",1,1.23911074504456,20.5540627124449,0.774045875202817,0.027,0.162,"","cecum","Week 2"
"la vs lg",1,0.426580586671109,5.28534907068964,0.468337225333754,0.029,0.174,"","cecum","Week 2"
"cef vs cdiff",1,0.561994303297571,12.3398545073461,0.67284364237477,0.033,0.198,"","cecum","Week 3"
"cef vs la",1,0.777106400446808,30.3555206383435,0.834963166675932,0.022,0.132,"","cecum","Week 3"
"cef vs lg",1,1.42976259447574,47.4608148509002,0.887768265097834,0.038,0.228,"","cecum","Week 3"
"cdiff vs la",1,0.824083622801565,19.7020895762645,0.766555945492427,0.029,0.174,"","cecum","Week 3"
"cdiff vs lg",1,1.3923642027689,30.0388143211147,0.833512835729319,0.027,0.162,"","cecum","Week 3"
"la vs lg",1,1.22481475122604,46.3781407739604,0.885448396767399,0.026,0.156,"","cecum","Week 3"
"cef vs cdiff",1,0.580184865967091,14.0204533087477,0.700306486198373,0.033,0.198,"","cecum","Week 4"
"cef vs la",1,0.554317053858999,10.7413868802767,0.64160675319745,0.022,0.132,"","cecum","Week 4"
"cef vs lg",1,0.666691980596197,8.93823495592725,0.598346122035034,0.038,0.228,"","cecum","Week 4"
"cdiff vs la",1,0.418294525246212,7.59337389347786,0.558608477408334,0.029,0.174,"","cecum","Week 4"
"cdiff vs lg",1,0.528533594579542,6.77001085766875,0.530149185707479,0.027,0.162,"","cecum","Week 4"
"la vs lg",1,0.561065979267119,6.35450303090646,0.514347118213481,0.026,0.156,"","cecum","Week 4"
"cef vs cdiff",1,0.63903558196991,19.0182603688299,0.760175171592851,0.033,0.198,"","ileum","Week 1"
"cef vs la",1,0.541720577751184,8.26715434970491,0.579453628037318,0.022,0.132,"","ileum","Week 1"
"cef vs lg",1,0.678616497179041,17.3394821325761,0.742924887282503,0.038,0.228,"","ileum","Week 1"
"cdiff vs la",1,0.0968731401350429,1.35471441983006,0.184196740009025,0.291,1,"","ileum","Week 1"
"cdiff vs lg",1,0.0985305163885481,2.18382200642621,0.266846224748217,0.15,0.9,"","ileum","Week 1"
"la vs lg",1,0.00963628816995927,0.125075009239829,0.0204201595982335,0.807,1,"","ileum","Week 1"
"cef vs cdiff",1,0.547558998630272,3.74861627940043,0.384528036796519,0.033,0.198,"","ileum","Week 2"
"cef vs la",1,0.900067300441742,11.4565735897844,0.656289937475977,0.022,0.132,"","ileum","Week 2"
"cef vs lg",1,0.473059865797131,3.22759741421889,0.34977657447923,0.038,0.228,"","ileum","Week 2"
"cdiff vs la",1,1.07474284860265,9.91766404526687,0.623060269211794,0.029,0.174,"","ileum","Week 2"
"cdiff vs lg",1,0.72747582166905,4.12470654710097,0.407390231797089,0.027,0.162,"","ileum","Week 2"
"la vs lg",1,0.809282475274962,7.43387943157971,0.553368032625371,0.029,0.174,"","ileum","Week 2"
"cef vs cdiff",1,0.713009034134436,3.26525677659726,0.352419458556706,0.033,0.198,"","ileum","Week 3"
"cef vs la",1,0.809554798106325,4.31252347719808,0.418183142732568,0.022,0.132,"","ileum","Week 3"
"cef vs lg",1,1.17390455637082,4.95427282669358,0.452268526179201,0.038,0.228,"","ileum","Week 3"
"cdiff vs la",1,0.183530879746851,1.11484147057142,0.156692383826492,0.313,1,"","ileum","Week 3"
"cdiff vs lg",1,1.24955091637597,5.84308678220675,0.493375324327227,0.027,0.162,"","ileum","Week 3"
"la vs lg",1,1.31263695774184,7.16463128691078,0.544233342413043,0.026,0.156,"","ileum","Week 3"
"cef vs cdiff",1,0.55573846750932,3.78749017083491,0.386972564439553,0.061,0.366,"","ileum","Week 4"
"cef vs la",1,0.39470613320461,1.95338896113897,0.245604605870958,0.176,1,"","ileum","Week 4"
"cef vs lg",1,0.493306709419081,3.52919806486937,0.370356250425754,0.038,0.228,"","ileum","Week 4"
"cdiff vs la",1,0.338580836546719,2.12199494365047,0.261265238204732,0.05,0.3,"","ileum","Week 4"
"cdiff vs lg",1,0.707080756009608,7.26893982051338,0.547816172116164,0.027,0.162,"","ileum","Week 4"
"la vs lg",1,0.628993955181273,4.12167252741509,0.407212594188492,0.059,0.354,"","ileum","Week 4"
